order,avg length,B_time,BPlus_time,BStar_time
2244,168877,6,5,6
2245,168877,6,5,6
2246,168877,6,5,6
2247,168877,6,5,6
2248,168877,6,5,6
2249,168877,6,5,6
2250,168877,6,5,6
2251,168877,5,5,6
2252,168877,6,5,6
2253,168877,6,5,6
2254,168877,6,5,6
2255,168877,6,5,6
2256,168877,6,5,6
2257,168877,6,5,6
2258,168877,6,5,6
2259,168877,6,5,6
2260,168877,6,5,6
2261,168877,6,5,6
2262,168877,6,5,6
2263,168877,6,5,6
2264,168877,7,6,6
2265,168877,6,5,6
2266,168877,6,5,6
2267,168877,6,5,6
2268,168877,6,5,6
2269,168877,6,5,6
2270,168877,6,5,6
2271,168877,6,5,6
2272,168877,6,5,6
2273,168877,6,5,6
2274,168877,6,5,6
2275,168877,6,5,6
2276,168877,6,5,6
2277,168877,6,5,6
2278,168877,6,5,6
2279,168877,6,5,6
2280,168877,6,5,6
2281,168877,6,5,6
2282,168877,6,5,6
2283,168877,6,5,6
2284,168877,6,5,6
2285,168877,6,5,6
2286,168877,6,5,6
2287,168877,6,5,6
2288,168877,6,5,6
2289,168877,6,5,6
2290,168877,6,5,6
2291,168877,6,5,6
2292,168877,6,5,6
2293,168877,6,5,6
2294,168877,6,5,6
2295,168877,6,5,6
2296,168877,6,5,6
2297,168877,6,5,6
2298,168877,6,5,6
2299,168877,6,5,6
2300,168877,6,5,6
2301,168877,6,5,6
2302,168877,6,5,6
2303,168877,6,5,6
2304,168877,6,5,6
2305,168877,6,5,6
2306,168877,6,5,6
2307,168877,6,5,6
2308,168877,6,5,6
2309,168877,6,5,6
2310,168877,6,5,6
2311,168877,6,5,6
2312,168877,6,5,6
2313,168877,6,5,6
2314,168877,6,5,6
2315,168877,6,5,6
2316,168877,6,5,6
2317,168877,6,5,6
2318,168877,6,5,6
2319,168877,6,5,6
2320,168877,6,5,6
2321,168877,6,5,6
2322,168877,6,5,6
2323,168877,6,5,6
2324,168877,6,5,6
2325,168877,6,5,6
2326,168877,6,5,6
2327,168877,6,5,6
2328,168877,6,5,6
2329,168877,6,5,6
2330,168877,6,5,6
2331,168877,6,5,6
2332,168877,6,5,6
2333,168877,6,5,6
2334,168877,6,5,6
2335,168877,6,5,6
2336,168877,6,5,6
2337,168877,6,5,6
2338,168877,6,5,6
2339,168877,6,5,6
2340,168877,6,5,6
2341,168877,6,5,6
2342,168877,6,5,6
2343,168877,6,5,6
2344,168877,6,5,6
2345,168877,6,5,6
2346,168877,6,5,6
2347,168877,6,5,6
2348,168877,6,5,6
2349,168877,6,5,6
2350,168877,6,5,6
2351,168877,6,5,6
2352,168877,6,5,6
2353,168877,6,5,6
2354,168877,6,5,6
2355,168877,6,5,6
2356,168877,6,5,6
2357,168877,6,5,6
2358,168877,6,5,6
2359,168877,6,5,6
2360,168877,6,5,6
2361,168877,6,5,6
2362,168877,6,5,6
2363,168877,6,5,6
2364,168877,6,5,6
2365,168877,6,5,6
2366,168877,6,5,6
2367,168877,6,5,6
2368,168877,6,5,6
2369,168877,6,5,6
2370,168877,6,5,6
2371,168877,6,5,6
2372,168877,6,5,6
2373,168877,6,5,6
2374,168877,6,5,6
2375,168877,6,5,6
2376,168877,6,5,6
2377,168877,6,5,6
2378,168877,6,5,6
2379,168877,6,5,6
2380,168877,6,5,6
2381,168877,6,5,6
2382,168877,6,5,6
2383,168877,6,5,6
2384,168877,6,5,6
2385,168877,6,5,6
2386,168877,6,5,6
2387,168877,6,5,6
2388,168877,6,5,6
2389,168877,6,5,6
2390,168877,6,5,6
2391,168877,6,5,6
2392,168877,6,5,6
2393,168877,6,5,6
2394,168877,6,5,6
2395,168877,6,5,6
2396,168877,6,5,6
2397,168877,6,5,6
2398,168877,6,5,6
2399,168877,6,5,6
2400,168877,6,5,6
2401,168877,6,5,6
2402,168877,6,5,6
2403,168877,6,5,6
2404,168877,6,5,6
2405,168877,6,5,6
2406,168877,6,5,6
2407,168877,6,5,6
